Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ft53.atsp;10046;ms;7331;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10028;ms;7649;156;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10043;ms;7607;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;7207;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10008;ms;7620;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10006;ms;7575;150;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10046;ms;7773;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10026;ms;7347;156;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10040;ms;7450;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;7309;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10006;ms;7634;150;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10003;ms;7593;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;7248;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10011;ms;7382;150;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7444;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10034;ms;7215;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10048;ms;7548;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10010;ms;7532;150;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10017;ms;7151;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;7743;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;7628;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10040;ms;7977;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
